26.4,60.61%,52.42%,50.06%
26.2,60.54%,52.43%,49.99%
26,60.35%,52.25%,49.75%
25.8,60.25%,52.37%,49.67%
25.6,60.12%,52.29%,49.48%
25.4,60.05%,52.07%,49.39%
25.2,59.95%,52.01%,49.25%
25,59.81%,51.95%,49.08%
24.8,59.81%,51.94%,49.09%
24.6,59.63%,51.82%,48.88%
24.4,59.60%,51.74%,48.86%
24.2,59.52%,51.76%,48.75%
24,59.38%,51.56%,48.59%
23.8,59.16%,51.35%,48.35%
23.6,59.19%,51.55%,48.38%
23.4,59.10%,51.58%,48.29%
23.2,59.08%,51.75%,48.27%
23,59.02%,51.68%,48.20%
22.8,58.88%,51.53%,48.04%
22.6,58.69%,51.57%,47.83%
22.4,58.62%,51.48%,47.75%
22.2,58.50%,51.32%,47.58%
22,58.42%,51.26%,47.50%
21.8,58.17%,51.08%,47.22%
21.6,58.01%,50.89%,47.04%
21.4,57.84%,50.65%,46.84%
21.2,57.89%,50.86%,46.89%
21,57.82%,50.88%,46.81%
20.8,57.64%,50.71%,46.60%
20.6,57.48%,50.53%,46.41%
20.4,57.43%,50.50%,46.38%
20.2,57.38%,50.34%,46.32%
20,57.12%,50.09%,46.01%
20,57.12%,50.09%,46.01%
19.8,57.06%,50.21%,45.97%
19.6,57.00%,50.17%,45.90%
19.4,56.76%,50.02%,45.64%
19.2,56.75%,50.16%,45.63%
19,56.78%,50.16%,45.68%
18.8,56.74%,50.22%,45.62%
18.6,56.68%,50.30%,45.57%
18.4,56.42%,50.13%,45.28%
18.2,56.31%,50.10%,45.17%
18,56.27%,50.00%,45.13%
17.8,56.20%,50.13%,45.06%
17.6,56.11%,50.12%,44.97%
17.4,56.15%,50.16%,45.02%
17.2,56.16%,50.11%,45.01%
17,56.13%,50.09%,44.97%
16.8,55.90%,49.86%,44.71%
16.6,55.83%,49.83%,44.65%
16.4,55.75%,49.78%,44.56%
16.2,55.63%,49.68%,44.43%
16,55.54%,49.66%,44.33%
15.8,55.51%,49.66%,44.31%
15.6,55.41%,49.76%,44.21%
15.4,55.33%,49.73%,44.13%
15.2,55.36%,49.79%,44.17%
15,55.17%,49.42%,43.94%
14.8,55.11%,49.58%,43.89%
14.6,54.95%,49.47%,43.73%
14.4,54.89%,49.36%,43.66%
14.2,54.85%,49.37%,43.62%
14,54.72%,49.31%,43.48%
13.8,54.55%,49.15%,43.29%
13.6,54.49%,49.12%,43.24%
13.4,54.33%,49.08%,43.08%
13.2,54.34%,49.20%,43.10%
13,54.22%,49.15%,42.98%
12.8,54.20%,49.23%,42.98%
12.6,54.11%,49.10%,42.88%
12.4,54.10%,49.17%,42.86%
12.2,53.93%,48.98%,42.69%
12,53.77%,48.91%,42.52%
11.8,53.73%,49.03%,42.51%
11.6,53.59%,48.95%,42.37%
11.4,53.55%,49.01%,42.33%
11.2,53.52%,49.15%,42.32%
11,53.41%,48.99%,42.19%
10.8,53.33%,48.98%,42.11%
10.6,53.37%,49.17%,42.17%
10.4,53.28%,49.13%,42.09%
10.2,53.29%,49.36%,42.12%
10,53.21%,49.18%,42.03%
9.8,53.06%,49.33%,41.90%
9.6,53.07%,49.32%,41.90%
9.4,52.98%,49.39%,41.82%
9.2,52.78%,49.30%,41.65%
9,52.75%,49.41%,41.62%
8.8,52.75%,49.55%,41.65%
8.6,52.63%,49.39%,41.53%
8.4,52.65%,49.49%,41.55%
8.2,52.57%,49.41%,41.46%
8,52.52%,49.46%,41.43%
7.8,52.43%,49.51%,41.37%
7.6,52.44%,49.48%,41.38%
7.4,52.36%,49.37%,41.29%
7.2,52.15%,49.16%,41.08%
7,52.11%,48.99%,41.01%
6.8,52.12%,49.18%,41.06%
6.6,52.12%,48.98%,41.02%
6.4,51.98%,48.79%,40.88%
6.2,51.88%,48.76%,40.78%
6,51.79%,48.60%,40.68%
5.8,51.81%,48.86%,40.73%
5.6,51.89%,49.12%,40.85%
5.4,51.83%,49.02%,40.76%
5.2,51.74%,48.73%,40.65%
5,51.79%,49.01%,40.74%
-1,93.59%,90.00%,93.45%
